Sample Collection Date,Sample ID No.,Host Group,Host Species,Sample Location - County,Sample Location - State,Sample Location - Site,Isolate_ID_No.,Genbank,CFU,Fungus Classification - Phylum,Fungus Classification - Class,Fungus Classification - Order,Fungus Classification - Family,Fungus Classification -Genus,Fungus Classification - Species,OTU (cluster)
20140228,24716_01,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1LNA,MK793813,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140228,24716_01,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1SD,MK793814,6,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140228,24716_03,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_03_1DTM,MK793815,1,Ascomycota,NA,NA,NA,NA,NA,cluster144
20140228,24716_03,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_03_1SD,MK793816,1,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,cluster153
20140228,24716_03,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_03_2SD,MK793817,4,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA,cluster170
20140228,24716_07,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_07_1LNA,MK793818,15,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,cluster11
20140228,24716_08,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_08_1LNA,MK793819,1,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,stemonitis,cluster184
20140228,24716_08,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_08_1SD,MK793820,5,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,leptobactrum,cluster21
20140228,24716_08,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_08_2LNA,MK793821,1,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,cluster11
20140228,24716_13,Susceptible,Perimyotis subflavus,Crawford,WI,WI2,24716_13_1SD,MK793822,3,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,beljakovae,cluster126
20140228,24716_14,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_14_1LNA,MK793823,50,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,cluster11
20140228,24716_19,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_19_1SD,MK793824,1,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,delicatulum,cluster0
20140228,24716_19,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_19_2SD,MK793825,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140228,24716_19,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_19_4SD,MK793826,4,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,cluster70
20140304,24728_02,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_02_1LNA,MK793827,1,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,thaxteri,cluster42
20140304,24728_02,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_02_1SD,MK793828,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140304,24728_02,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_02_2SD,MK793829,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,victoriae,cluster72
20140304,24728_02,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_02_3SD,MK793830,4,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24728_05,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_05_1SD,MK793831,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24728_05,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_05_2SD,MK793832,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
20140304,24728_06,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_06_1SD,MK793833,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
20140304,24728_09,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_09_1SD,MK793834,3,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
20140304,24728_12,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_12_1SD,MK793835,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
20140304,24728_13,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_13_1SD,MK793836,5,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140304,24728_13,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_13_2SD,MK793837,50,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,NA,cluster52
20140304,24728_13,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_13_3SD,MK793838,5,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24728_13,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_13_4SD,MK793839,1,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,halotolerans,cluster93
20140304,24728_17,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_17_1LNA,MK793840,2,Basidiomycota,Malasseziomycetes,Malasseziales,NA,NA,NA,cluster119
20140304,24728_17,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_17_1SD,MK793841,2,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
20140304,24728_17,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_17_2SD,MK793842,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24728_17,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_17_3SD,MK793843,2,Ascomycota,Sordariomycetes,Sordariales,Cephalothecaceae,Phialemonium,atrogriseum,cluster7
20140304,24728_17,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_17_4SD,MK793844,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
20140304,24728_18,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_18_1DTM,MK793845,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140304,24728_18,Tolerant,Eptesicus fuscus,Jasper,IA,IA1,24728_18_1SD,MK793846,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
20140304,24729_01,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_01_1SD,MK793847,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_02,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_02_1SD,MK793848,8,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_03,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_03_1SD,MK793849,49,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_04,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_04_1SD,MK793850,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_05,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_05_1SD,MK793851,4,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_06,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_06_1SD,MK793852,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_07,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_07_1SD,MK793853,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_08,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_08_1SD,MK793854,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_09,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_09_1SD,MK793855,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_10,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_10_1SD,MK793856,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_11,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_11_1SD,MK793857,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_12,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_12_1SD,MK793858,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,cluster47
20140304,24729_12,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_12_2SD,MK793859,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140304,24729_13,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_13_1SD,MK793860,2,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_14,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_14_1SD,MK793861,16,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_15,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_15_1SD,MK793862,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140304,24729_16,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_16_1SD,MK793863,52,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1DTM,MK793864,3,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA,cluster108
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1LNA,MK793865,2,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium,NA,cluster98
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1SD,MK793866,7,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,aurantiogriseum,cluster24
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2DTM,MK793867,3,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,NA,NA,cluster125
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2LNA,MK793868,1,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA,cluster108
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2SD,MK793869,3,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,cluster24
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_3LNA,MK793870,1,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,lactis,cluster116
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_3SD,MK793871,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster48
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_4LNA,MK793872,1,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,cluster24
20140304,24729_17,Tolerant,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_4SD,MK793873,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140310,24738_02,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_02_1DTM,MK793874,1,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA,cluster81
20140310,24738_02,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_02_1LNA,MK793875,15,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,cluster11
20140310,24738_02,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_02_2LNA,MK793876,2,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA,cluster88
20140310,24738_05,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_05_1LNA,MK793877,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster26
20140310,24738_05,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_05_1SD,MK793878,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140310,24738_05,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_05_2LNA,MK793879,3,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,cluster99
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_1DTM,MK793880,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_1LNA,MK793881,4,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_1SD,MK793882,6,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,cluster12
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_2DTM,MK793883,1,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,cluster99
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_2LNA,MK793884,4,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,cluster99
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_2SD,MK793885,4,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,appendiculatus,cluster9
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_3LNA,MK793886,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
20140310,24738_08,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_08_3SD,MK793887,5,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,cluster24
20140310,24738_11,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_11_1LNA,MK793888,1,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,cluster99
20140310,24738_11,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_11_1SD,MK793889,8,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,dichotoma,cluster104
20140310,24738_13,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_13_1SD,MK793890,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140310,24738_13,Susceptible,Myotis lucifugus,Richland,WI,WI1,24738_13_2LNA,MK793891,200,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,cluster11
20140304,44767-01,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_01_1SD,MK793892,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-02,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_02_1DTM,MK793893,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-03,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_03_1SD,MK793894,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-04,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1DTM,MK793895,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-04,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1LNA,MK793896,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-04,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1SD,MK793897,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-05,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_05_1DTM,MK793898,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-05,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_05_1SD,MK793899,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-06,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_06_1SD,MK793900,10,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-07,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_07_1SD,MK793901,25,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-08,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_08_1SD,MK793902,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-09,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_09_1SD,MK793903,10,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-10,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_10_1SD,MK793904,1,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,macerans,cluster130
20140304,44767-10,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_10_2SD,MK793905,12,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-11,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_11_1SD,MK793906,50,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-12,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_12_1SD,MK793907,42,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-13,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_13_1DTM,MK793908,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-13,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_13_1SD,MK793909,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-14,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_14_1SD,MK793910,41,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-15,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_15_1SD,MK793911,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-16,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_16_1SD,MK793912,28,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-17,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_17_1SD,MK793913,33,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-18,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_18_1SD,MK793914,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-19,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_19_1SD,MK793915,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-20,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_20_1SD,MK793916,73,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-21,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_21_1SD,MK793917,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-22,Susceptible,Perimyotis subflavus,Trigg,KY,KY1,44767_22_1SD,MK793918,7,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
20140304,44767-23,Tolerant,Myotis grisescens,Trigg,KY,KY1,44767_23_1DTM,MK793919,1,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,moniliiforme,cluster44
20140304,44767-23,Tolerant,Myotis grisescens,Trigg,KY,KY1,44767_23_1SD,MK793920,5,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140304,44767-23,Tolerant,Myotis grisescens,Trigg,KY,KY1,44767_23_2SD,MK793921,1,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,NA,cluster62
20140304,44767-23,Tolerant,Myotis grisescens,Trigg,KY,KY1,44767_23_3SD,MK793922,15,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
