,Sample Collection Date,Sample ID No.,Host Species,Sample Location - County,Sample Location - State,Sample Location - Site,Isolate_ID_No.,Genbank,CFU,Fungus Classification - Phylum,Fungus Classification - Class,Fungus Classification - Order,Fungus Classification - Family,Fungus Classification -Genus,Fungus Classification - Species,OTU (cluster)
42,20140304,24728_13,Eptesicus fuscus,Jasper,IA,IA1,24728_13_2SD,MK793837,50,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,,cluster52
43,20140304,24728_13,Eptesicus fuscus,Jasper,IA,IA1,24728_13_3SD,MK793838,5,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
44,20140304,24728_13,Eptesicus fuscus,Jasper,IA,IA1,24728_13_4SD,MK793839,1,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,halotolerans,cluster93
45,20140304,24728_17,Eptesicus fuscus,Jasper,IA,IA1,24728_17_1LNA,MK793840,2,Basidiomycota,Malasseziomycetes,Malasseziales,,,,cluster119
46,20140304,24728_17,Eptesicus fuscus,Jasper,IA,IA1,24728_17_1SD,MK793841,2,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
47,20140304,24728_17,Eptesicus fuscus,Jasper,IA,IA1,24728_17_2SD,MK793842,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
48,20140304,24728_17,Eptesicus fuscus,Jasper,IA,IA1,24728_17_3SD,MK793843,2,Ascomycota,Sordariomycetes,Sordariales,Cephalothecaceae,Phialemonium,atrogriseum,cluster7
49,20140304,24728_17,Eptesicus fuscus,Jasper,IA,IA1,24728_17_4SD,MK793844,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
50,20140304,24728_18,Eptesicus fuscus,Jasper,IA,IA1,24728_18_1DTM,MK793845,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
51,20140304,24728_18,Eptesicus fuscus,Jasper,IA,IA1,24728_18_1SD,MK793846,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
52,20140304,24729_01,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_01_1SD,MK793847,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
53,20140304,24729_02,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_02_1SD,MK793848,8,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
54,20140304,24729_03,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_03_1SD,MK793849,49,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
55,20140304,24729_04,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_04_1SD,MK793850,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
56,20140304,24729_05,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_05_1SD,MK793851,4,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
57,20140304,24729_06,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_06_1SD,MK793852,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
58,20140304,24729_07,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_07_1SD,MK793853,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
59,20140304,24729_08,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_08_1SD,MK793854,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
60,20140304,24729_09,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_09_1SD,MK793855,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
61,20140304,24729_10,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_10_1SD,MK793856,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
62,20140304,24729_11,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_11_1SD,MK793857,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
63,20140304,24729_12,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_12_1SD,MK793858,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,cluster47
64,20140304,24729_12,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_12_2SD,MK793859,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
65,20140304,24729_13,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_13_1SD,MK793860,2,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
66,20140304,24729_14,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_14_1SD,MK793861,16,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
67,20140304,24729_15,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_15_1SD,MK793862,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
68,20140304,24729_16,Corynorhinus townsendii virginianus,Pendleton,WV,WV2,24729_16_1SD,MK793863,52,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
69,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1DTM,MK793864,3,Ascomycota,Eurotiomycetes,Onygenales,,,,cluster108
70,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1LNA,MK793865,2,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Simplicillium,,cluster98
71,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_1SD,MK793866,7,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,aurantiogriseum,cluster24
72,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2DTM,MK793867,3,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,,,cluster125
73,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2LNA,MK793868,1,Ascomycota,Eurotiomycetes,Onygenales,,,,cluster108
74,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_2SD,MK793869,3,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,cluster24
75,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_3LNA,MK793870,1,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,lactis,cluster116
76,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_3SD,MK793871,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster48
77,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_4LNA,MK793872,1,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,cluster24
78,20140304,24729_17,Eptesicus fuscus,Pendleton,WV,WV2,24729_17_4SD,MK793873,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
79,20140310,24738_02,Myotis lucifugus,Richland,WI,WI1,24738_02_1DTM,MK793874,1,Ascomycota,Eurotiomycetes,Onygenales,,,,cluster81
80,20140310,24738_02,Myotis lucifugus,Richland,WI,WI1,24738_02_1LNA,MK793875,15,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,cluster11
81,20140310,24738_02,Myotis lucifugus,Richland,WI,WI1,24738_02_2LNA,MK793876,2,Ascomycota,Sordariomycetes,Hypocreales,,,,cluster88
82,20140310,24738_05,Myotis lucifugus,Richland,WI,WI1,24738_05_1LNA,MK793877,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster26
83,20140310,24738_05,Myotis lucifugus,Richland,WI,WI1,24738_05_1SD,MK793878,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
84,20140310,24738_05,Myotis lucifugus,Richland,WI,WI1,24738_05_2LNA,MK793879,3,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,,cluster99
85,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_1DTM,MK793880,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
86,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_1LNA,MK793881,4,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
87,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_1SD,MK793882,6,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,cluster12
88,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_2DTM,MK793883,1,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,,cluster99
89,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_2LNA,MK793884,4,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,,cluster99
90,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_2SD,MK793885,4,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,appendiculatus,cluster9
91,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_3LNA,MK793886,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
92,20140310,24738_08,Myotis lucifugus,Richland,WI,WI1,24738_08_3SD,MK793887,5,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,cluster24
93,20140310,24738_11,Myotis lucifugus,Richland,WI,WI1,24738_11_1LNA,MK793888,1,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,,cluster99
94,20140310,24738_11,Myotis lucifugus,Richland,WI,WI1,24738_11_1SD,MK793889,8,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,dichotoma,cluster104
95,20140310,24738_13,Myotis lucifugus,Richland,WI,WI1,24738_13_1SD,MK793890,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
96,20140310,24738_13,Myotis lucifugus,Richland,WI,WI1,24738_13_2LNA,MK793891,200,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,cluster11
97,20140304,44767-01,Perimyotis subflavus,Trigg,KY,KY1,44767_01_1SD,MK793892,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
98,20140304,44767-02,Perimyotis subflavus,Trigg,KY,KY1,44767_02_1DTM,MK793893,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
99,20140304,44767-03,Perimyotis subflavus,Trigg,KY,KY1,44767_03_1SD,MK793894,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
100,20140304,44767-04,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1DTM,MK793895,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
101,20140304,44767-04,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1LNA,MK793896,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
102,20140304,44767-04,Perimyotis subflavus,Trigg,KY,KY1,44767_04_1SD,MK793897,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
103,20140304,44767-05,Perimyotis subflavus,Trigg,KY,KY1,44767_05_1DTM,MK793898,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
104,20140304,44767-05,Perimyotis subflavus,Trigg,KY,KY1,44767_05_1SD,MK793899,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
105,20140304,44767-06,Perimyotis subflavus,Trigg,KY,KY1,44767_06_1SD,MK793900,10,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
106,20140304,44767-07,Perimyotis subflavus,Trigg,KY,KY1,44767_07_1SD,MK793901,25,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
107,20140304,44767-08,Perimyotis subflavus,Trigg,KY,KY1,44767_08_1SD,MK793902,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
108,20140304,44767-09,Perimyotis subflavus,Trigg,KY,KY1,44767_09_1SD,MK793903,10,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
109,20140304,44767-10,Perimyotis subflavus,Trigg,KY,KY1,44767_10_1SD,MK793904,1,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,macerans,cluster130
110,20140304,44767-10,Perimyotis subflavus,Trigg,KY,KY1,44767_10_2SD,MK793905,12,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
111,20140304,44767-11,Perimyotis subflavus,Trigg,KY,KY1,44767_11_1SD,MK793906,50,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
112,20140304,44767-12,Perimyotis subflavus,Trigg,KY,KY1,44767_12_1SD,MK793907,42,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
113,20140304,44767-13,Perimyotis subflavus,Trigg,KY,KY1,44767_13_1DTM,MK793908,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
114,20140304,44767-13,Perimyotis subflavus,Trigg,KY,KY1,44767_13_1SD,MK793909,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
115,20140304,44767-14,Perimyotis subflavus,Trigg,KY,KY1,44767_14_1SD,MK793910,41,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
116,20140304,44767-15,Perimyotis subflavus,Trigg,KY,KY1,44767_15_1SD,MK793911,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
117,20140304,44767-16,Perimyotis subflavus,Trigg,KY,KY1,44767_16_1SD,MK793912,28,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
118,20140304,44767-17,Perimyotis subflavus,Trigg,KY,KY1,44767_17_1SD,MK793913,33,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
119,20140304,44767-18,Perimyotis subflavus,Trigg,KY,KY1,44767_18_1SD,MK793914,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
120,20140304,44767-19,Perimyotis subflavus,Trigg,KY,KY1,44767_19_1SD,MK793915,100,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
121,20140304,44767-20,Perimyotis subflavus,Trigg,KY,KY1,44767_20_1SD,MK793916,73,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
122,20140304,44767-21,Perimyotis subflavus,Trigg,KY,KY1,44767_21_1SD,MK793917,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
123,20140304,44767-22,Perimyotis subflavus,Trigg,KY,KY1,44767_22_1SD,MK793918,7,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
124,20140304,44767-23,Myotis grisescens,Trigg,KY,KY1,44767_23_1DTM,MK793919,1,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,moniliiforme,cluster44
125,20140304,44767-23,Myotis grisescens,Trigg,KY,KY1,44767_23_1SD,MK793920,5,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
126,20140304,44767-23,Myotis grisescens,Trigg,KY,KY1,44767_23_2SD,MK793921,1,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,,cluster62
127,20140304,44767-23,Myotis grisescens,Trigg,KY,KY1,44767_23_3SD,MK793922,15,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
128,20140304,44767-23,Myotis grisescens,Trigg,KY,KY1,44767_23_4SD,MK793923,2,Ascomycota,,,,,,cluster144
129,20140304,44767-24,Perimyotis subflavus,Trigg,KY,KY1,44767_24_1SD,MK793924,400,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
130,20140304,44767-25,Perimyotis subflavus,Trigg,KY,KY1,44767_25_1SD,MK793925,30,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
131,20140304,44767-26,Perimyotis subflavus,Trigg,KY,KY1,44767_26_1SD,MK793926,6,Ascomycota,Leotiomycetes,Helotiales,incertae sedis,Cadophora,gregata,cluster143
132,20140304,44767-26,Perimyotis subflavus,Trigg,KY,KY1,44767_26_2SD,MK793927,1,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,,,cluster94
133,20140304,44767-26,Perimyotis subflavus,Trigg,KY,KY1,44767_26_3SD,MK793928,36,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
134,20140304,44767-27,Myotis sodalis,Trigg,KY,KY1,44767_27_1DTM,MK793929,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,destructans,cluster26
